"","Date","spx","dax","ftse","nikkei"
"126","1994-06-30",444.269989013672,2020.84997558594,2919.19995117188,20643.9296875
"127","1994-07-01",446.200012207031,2040.68994140625,2936.39990234375,20543.41015625
"128","1994-07-04",446.200012207031,2061.69995117188,2970.39990234375,20631.9296875
"129","1994-07-05",446.369995117188,2034.64001464844,2965,20834.369140625
"130","1994-07-06",446.130004882812,2031.32995605469,2946.69995117188,20629.029296875
"131","1994-07-07",448.380004882812,2049.10009765625,2964.39990234375,20620.01953125
"132","1994-07-08",449.549987792969,2047.82995605469,2962.39990234375,20526.509765625
"133","1994-07-11",448.059997558594,2069.4599609375,2983.80004882812,20473.08984375
"134","1994-07-12",447.950012207031,2048.57006835938,2963.89990234375,20400.48046875
"135","1994-07-13",448.730010986328,2051.25,3005.30004882812,20540.41015625
"136","1994-07-14",453.410003662109,2070.7099609375,3050.39990234375,20718.0390625
"137","1994-07-15",454.160003662109,2103.5400390625,3074.80004882812,20770.150390625
"138","1994-07-18",455.220001220703,2116.9599609375,3082,20717.640625
"139","1994-07-19",453.859985351562,2129.86010742188,3091.30004882812,20775.16015625
"140","1994-07-20",451.600006103516,2120.96997070312,3077.19995117188,20780.759765625
"141","1994-07-21",452.609985351562,2126.75,3095.10009765625,20622.919921875
"142","1994-07-22",453.109985351562,2148.22998046875,3114.69995117188,20462.890625
"143","1994-07-25",454.25,2144.2099609375,3106.10009765625,20297.66015625
"144","1994-07-26",453.359985351562,2163.32006835938,3117.19995117188,20345.369140625
"145","1994-07-27",452.570007324219,2135.92993164062,3082.30004882812,20137.23046875
"146","1994-07-28",454.239990234375,2134.1201171875,3095.89990234375,20247.849609375
"147","1994-07-29",458.260009765625,2152.18994140625,3082.60009765625,20449.390625
"148","1994-08-01",461.010009765625,2161.5,3097.39990234375,20271.349609375
"149","1994-08-02",460.559997558594,2193.6298828125,3157.5,20660.130859375
"150","1994-08-03",461.450012207031,2190.830078125,3160.39990234375,20632.73046875
"151","1994-08-04",458.399993896484,2176.65991210938,3150.5,20676.83984375
"152","1994-08-05",457.089996337891,2188.81005859375,3167.5,20521.69921875
"153","1994-08-08",457.890014648438,2182.32006835938,3171.89990234375,20635.830078125
"154","1994-08-09",457.920013427734,2160.56005859375,3168.60009765625,20590.220703125
"155","1994-08-10",460.299987792969,2166.51000976562,3167,20770.25
"156","1994-08-11",458.880004882812,2156.31005859375,3138.19995117188,20821.359375
"157","1994-08-12",461.940002441406,2133.73999023438,3142.30004882812,20663.830078125
"158","1994-08-15",461.230010986328,2134.34008789062,3142.19995117188,20626.330078125
"159","1994-08-16",465.010009765625,2152.64990234375,3147.30004882812,20786.359375
"160","1994-08-17",465.170013427734,2166.56005859375,3190.30004882812,20824.560546875
"161","1994-08-18",463.170013427734,2151.43994140625,3182.60009765625,20862.76953125
"162","1994-08-19",463.679992675781,2143.84008789062,3191.39990234375,20512.69921875
"163","1994-08-22",462.320007324219,2113.3701171875,3171.30004882812,20394.580078125
"164","1994-08-23",464.510009765625,2121.25,3175.10009765625,20380.779296875
"165","1994-08-24",469.029998779297,2132.97998046875,3205.19995117188,20511.599609375
"166","1994-08-25",468.079986572266,2153.47998046875,3234.19995117188,20443.2890625
"167","1994-08-26",473.799987792969,2190.580078125,3265.10009765625,20471.490234375
"168","1994-08-29",474.589996337891,2215.71997070312,3265.10009765625,20600.419921875
"169","1994-08-30",476.070007324219,2205.82006835938,3249.60009765625,20592.119140625
"170","1994-08-31",475.489990234375,2207.09008789062,3251.30004882812,20628.529296875
"171","1994-09-01",473.170013427734,2185.78002929688,3216.5,20642.9296875
"172","1994-09-02",470.989990234375,2197.3798828125,3222.69995117188,20653.830078125
"173","1994-09-05",470.989990234375,2173.60009765625,3241.5,20409.1796875
"174","1994-09-06",471.859985351562,2158.07006835938,3205.39990234375,20393.98046875
"175","1994-09-07",470.989990234375,2167.67993164062,3203.89990234375,20023.80078125
"176","1994-09-08",473.140014648438,2178.10009765625,3180,19917.779296875
"177","1994-09-09",468.179992675781,2155.580078125,3139.30004882812,19897.880859375
"178","1994-09-12",466.209991455078,2155.81005859375,3128.80004882812,19917.279296875
"179","1994-09-13",467.510009765625,2157.14990234375,3121.39990234375,20046.109375
"180","1994-09-14",468.799987792969,2118.169921875,3079.80004882812,19919.380859375
"181","1994-09-15",474.809997558594,2129.36010742188,3112.69995117188,19919.380859375
"182","1994-09-16",471.190002441406,2097.44995117188,3065.10009765625,19796.259765625
"183","1994-09-19",470.850006103516,2100.55004882812,3079.10009765625,19554.109375
"184","1994-09-20",463.359985351562,2059.14990234375,3037.30004882812,19837.26953125
"185","1994-09-21",461.459991455078,2067.169921875,3014.80004882812,19885.380859375
"186","1994-09-22",461.269989013672,2072.81005859375,3021.19995117188,19833.669921875
"187","1994-09-23",459.670013427734,2097.330078125,3028.19995117188,19833.669921875
"188","1994-09-26",460.820007324219,2057.830078125,2999.80004882812,19814.359375
"189","1994-09-27",462.049987792969,2056.88989257812,3008.5,19468.890625
"190","1994-09-28",464.839996337891,2070.36010742188,3038.69995117188,19507.599609375
"191","1994-09-29",462.239990234375,2016.07995605469,2992.5,19615.119140625
"192","1994-09-30",462.709991455078,2002.30004882812,3026.30004882812,19563.810546875
"193","1994-10-03",461.739990234375,2002.30004882812,2983.5,19650.029296875
"194","1994-10-04",454.589996337891,1988.67004394531,3001.80004882812,19568.609375
"195","1994-10-05",453.519989013672,1946.48999023438,2956.30004882812,19751.55078125
"196","1994-10-06",452.359985351562,1965.41003417969,2984.39990234375,19655.23046875
"197","1994-10-07",455.100006103516,1977.67004394531,2998.69995117188,19744.75
"198","1994-10-10",459.040008544922,2048.56005859375,3032.30004882812,19744.75
"199","1994-10-11",465.790008544922,2087.7099609375,3073,19821.4609375
"200","1994-10-12",465.470001220703,2072.67993164062,3100.5,20089.720703125
"201","1994-10-13",467.790008544922,2108.080078125,3141.89990234375,20148.830078125
"202","1994-10-14",469.100006103516,2118.52001953125,3106.69995117188,19969.2890625
"203","1994-10-17",468.959991455078,2095.580078125,3120.19995117188,19958.2890625
"204","1994-10-18",467.660003662109,2069.580078125,3085.30004882812,19992.400390625
"205","1994-10-19",470.279998779297,2058.1298828125,3060.80004882812,19868.869140625
"206","1994-10-20",466.850006103516,2048.14990234375,3063.19995117188,19991.900390625
"207","1994-10-21",464.890014648438,2016.59997558594,3032.80004882812,19899.080078125
"208","1994-10-24",460.829986572266,2022.64001464844,3029.10009765625,19852.369140625
"209","1994-10-25",461.529998779297,1995.84997558594,3000.89990234375,19732.150390625
"210","1994-10-26",462.619995117188,2009.44995117188,2999.89990234375,19746.349609375
"211","1994-10-27",465.850006103516,2026.36999511719,3029.60009765625,19796.359375
"212","1994-10-28",473.769989013672,2064.86010742188,3083.80004882812,19805.16015625
"213","1994-10-31",472.350006103516,2061.580078125,3097.39990234375,19989.599609375
"214","1994-11-01",468.420013427734,2066.17993164062,3096.30004882812,19916.48046875
"215","1994-11-02",466.510009765625,2039.91003417969,3081.30004882812,19750.650390625
"216","1994-11-03",467.910003662109,2061.3701171875,3104.39990234375,19750.650390625
"217","1994-11-04",462.279998779297,2069.38989257812,3097.60009765625,19811.560546875
"218","1994-11-07",463.070007324219,2043.30004882812,3065.80004882812,19619.220703125
"219","1994-11-08",465.649993896484,2056.36010742188,3063.80004882812,19609.01953125
"220","1994-11-09",465.399993896484,2090.78002929688,3099.60009765625,19423.880859375
"221","1994-11-10",464.369995117188,2098.0400390625,3103.5,19264.849609375
"222","1994-11-11",462.350006103516,2073.669921875,3075.89990234375,19284.359375
"223","1994-11-14",466.040008544922,2091.0400390625,3095.30004882812,19261.44921875
"224","1994-11-15",465.029998779297,2112.2099609375,3135.39990234375,19391.6796875
"225","1994-11-16",465.619995117188,2112.2099609375,3146.5,19306.66015625
"226","1994-11-17",463.570007324219,2091.93994140625,3127.5,19336.5703125
"227","1994-11-18",461.470001220703,2089.47998046875,3131,19302.560546875
"228","1994-11-21",458.299987792969,2097.19995117188,3121,19121.720703125
"229","1994-11-22",450.089996337891,2073.2900390625,3078.69995117188,18962.990234375
"230","1994-11-23",449.929992675781,2040.05004882812,3027.5,18962.990234375
